length=100,window_size=10
1,2018-06-21 [19:07:23],20.7
2,2018-06-22 [11:56:48],17.9
3,2018-06-23 [10:09:23],18.8
4,2018-06-24 [14:58:36],14.6
5,2018-06-25 [01:53:33],15.8
6,2018-06-26 [17:14:27],15.8
7,2018-06-27 [15:33:10],15.8
8,2018-06-28 [02:11:21],17.4
9,2018-06-29 [22:42:30],21.8
10,2018-06-30 [03:43:19],20
11,2018-06-31 [05:44:43],16.2
12,2018-07-01 [09:31:06],13.3
13,2018-07-02 [13:07:36],16.7
14,2018-07-03 [06:34:19],21.5
15,2018-07-04 [10:57:32],25
16,2018-07-05 [00:35:59],20.7
17,2018-07-06 [11:16:36],20.6
18,2018-07-07 [15:57:05],24.8
19,2018-07-08 [20:13:38],17.7
20,2018-07-09 [01:59:52],15.5
21,2018-07-10 [13:37:13],18.2
22,2018-07-11 [04:04:34],12.1
23,2018-07-12 [13:00:05],14.4
24,2018-07-13 [12:29:36],16
25,2018-07-14 [11:49:12],16.5
26,2018-07-15 [18:27:39],18.7
27,2018-07-16 [08:04:36],19.4
28,2018-07-17 [22:30:48],17.2
29,2018-07-18 [00:02:29],15.5
30,2018-07-19 [18:14:09],15.1
31,2018-07-20 [13:00:34],15.4
32,2018-07-21 [06:53:22],15.3
33,2018-07-22 [02:39:31],18.8
34,2018-07-23 [10:31:48],21.9
35,2018-07-24 [11:01:30],19.9
36,2018-07-25 [03:28:32],16.6
37,2018-07-26 [10:48:37],16.8
38,2018-07-27 [19:19:28],14.6
39,2018-07-28 [12:57:15],17.1
40,2018-07-29 [05:56:12],25
41,2018-07-30 [20:23:03],15
42,2018-07-31 [02:47:24],13.7
43,2018-08-01 [10:50:20],13.9
44,2018-08-02 [11:14:08],18.3
45,2018-08-03 [18:33:39],22
46,2018-08-04 [02:55:25],22.1
47,2018-08-05 [01:50:15],21.2
48,2018-08-06 [04:05:13],18.4
49,2018-08-07 [14:22:31],16.6
50,2018-08-08 [17:22:05],16.1
51,2018-08-09 [21:35:59],15.7
52,2018-08-10 [22:45:24],16.6
53,2018-08-11 [08:03:37],16.5
54,2018-08-12 [19:40:40],14.4
55,2018-08-13 [06:02:03],14.4
56,2018-08-14 [02:19:37],18.5
57,2018-08-15 [17:40:36],16.9
58,2018-08-16 [03:13:03],17.5
59,2018-08-17 [14:13:44],21.2
60,2018-08-18 [04:35:39],17.8
61,2018-08-19 [06:03:17],18.6
62,2018-08-20 [15:54:37],17
63,2018-08-21 [01:05:32],16
64,2018-08-22 [02:34:14],13.3
65,2018-08-23 [05:28:52],14.3
66,2018-08-24 [11:20:29],11.4
67,2018-08-25 [17:45:34],16.3
68,2018-08-26 [17:25:28],16.1
69,2018-08-27 [01:54:18],11.8
70,2018-08-28 [07:11:54],12.2
71,2018-08-29 [13:35:51],14.7
72,2018-08-30 [02:27:21],11.8
73,2018-09-01 [19:00:38],11.3
74,2018-09-02 [15:00:50],10.6
75,2018-09-03 [23:06:26],11.7
76,2018-09-04 [22:17:45],14.2
77,2018-09-05 [05:18:27],11.2
78,2018-09-06 [00:01:08],16.9
79,2018-09-07 [05:20:06],16.7
80,2018-09-08 [03:48:13],8.1
81,2018-09-09 [13:39:12],8
82,2018-09-10 [08:14:04],8.8
83,2018-09-11 [06:31:07],13.4
84,2018-09-12 [21:34:06],10.9
85,2018-09-13 [02:42:02],13.4
86,2018-09-14 [04:37:04],11
87,2018-09-15 [06:51:59],15
88,2018-09-16 [04:27:23],15.7
89,2018-09-17 [02:36:12],14.5
90,2018-09-18 [02:34:02],15.8
91,2018-09-19 [17:24:49],16.7
92,2018-09-20 [05:45:14],16.8
93,2018-09-21 [21:27:11],17.5
94,2018-09-22 [07:12:21],17.1
95,2018-09-23 [23:24:51],18.1
96,2018-09-24 [05:02:18],16.6
97,2018-09-25 [19:45:00],10
98,2018-09-26 [22:09:52],14.9
99,2018-09-27 [01:32:36],15.9
100,2018-09-28 [17:59:38],13
